Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2014-)","50","Chypre","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","91.67","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","44","Colombie","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","3114","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","44","Colombie","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","72.92","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","46","Congo","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","2285","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","46","Congo","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","58.16","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","48","Costa Rica","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","3029","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","48","Costa Rica","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","82.42","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","107","Côte d'Ivoire","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","2778","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","107","Côte d'Ivoire","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","57.61","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","98","Croatie","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","3074","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","98","Croatie","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","90.6","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","49","Cuba","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","3344","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","49","Cuba","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","84.89","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","54","Danemark","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","3401","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","54","Danemark","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","117.08","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","72","Djibouti","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","2694","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","72","Djibouti","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","65.75","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","55","Dominique","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","2952","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","55","Dominique","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","79.08","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","59","Égypte","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","3292","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","59","Égypte","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","97.52","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","60","El Salvador","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","2696","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","60","El Salvador","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","77.03","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","225","Émirats arabes unis","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","3314","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","225","Émirats arabes unis","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","110.26","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","58","Équateur","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","2606","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","58","Équateur","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","65.96","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","203","Espagne","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","3322","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","203","Espagne","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","107.55","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","63","Estonie","664","Disponibilité alimentaire (Kcal/personne/jour)","2901","Total General","2018","2018","Kcal/personne/jour","3247","Fc","Donnée calculée"
"FBS","Bilans Alimentaires (2014-)","63","Estonie","674","Disponibilité de protéines en quantité (g/personne/jour)","2901","Total General","2018","2018","g/personne/jour","105.38","Fc","Donnée calculée"
