Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"OA","Séries temporelles annuelles","60","El Salvador","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","6420.746","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","225","Émirats arabes unis","511","Population totale","3010","Population-Estimations","2013","2013","1000 personnes","9197.91","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","225","Émirats arabes unis","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","9630.959","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","58","Équateur","511","Population totale","3010","Population-Estimations","2013","2013","1000 personnes","15707.474","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","58","Équateur","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","17084.358","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","178","Érythrée","511","Population totale","3010","Population-Estimations","2013","2013","1000 personnes","3281.449","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","178","Érythrée","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","3452.786","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","203","Espagne","511","Population totale","3010","Population-Estimations","2013","2013","1000 personnes","46930.555","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","203","Espagne","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","46692.858","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","63","Estonie","511","Population totale","3010","Population-Estimations","2013","2013","1000 personnes","1319.062","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","63","Estonie","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","1322.92","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","209","Eswatini","511","Population totale","3010","Population-Estimations","2013","2013","1000 personnes","1086.843","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","209","Eswatini","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","1136.281","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","231","États-Unis d'Amérique","511","Population totale","3010","Population-Estimations","2013","2013","1000 personnes","316400.538","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","231","États-Unis d'Amérique","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","327096.265","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","238","Éthiopie","511","Population totale","3010","Population-Estimations","2013","2013","1000 personnes","95385.798","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","238","Éthiopie","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","109224.414","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","185","Fédération de Russie","511","Population totale","3010","Population-Estimations","2013","2013","1000 personnes","144325.449","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","185","Fédération de Russie","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","145734.038","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","66","Fidji","511","Population totale","3010","Population-Estimations","2013","2013","1000 personnes","865.608","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","66","Fidji","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","883.483","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","67","Finlande","511","Population totale","3010","Population-Estimations","2013","2013","1000 personnes","5438.982","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","67","Finlande","511","Population totale","3010","Population-Estimations","2018","2018","1000 personnes","5522.576","X","Sources internationales sûres",""
